Company,Symbol
The Ramco Cements Ltd.,RAMCOCEM
Abbott India Ltd.,ABBOTINDIA
Indraprastha Gas Ltd.,IGL
Alkem Laboratories Ltd.,ALKEM
Jubilant Life Sciences Ltd,JUBILANT
Odisha Cement Ltd.,DALBHARAT
ICICI Lombard General Insurance Comapny Limited,ICICIGI
Bharat Forge Ltd.,BHARATFORG
Mahindra & Mahindra Financial Services Ltd.,M&MFIN
CESC Ltd.,CESC
Mahindra & Mahindra Ltd.,M&M
Avenue Supermarts Ltd.,DMART
Navin Fluorine International Ltd.,NAVINFLUOR
Tech Mahindra Ltd.,TECHM
Solar Industries India Ltd.,SOLARINDS
Sundram Fasteners Ltd.,SUNDRMFAST
TCI Express Ltd.,TCIEXP
United Spirits Ltd.,MCDOWELL-N
ISGEC Heavy Engineering Ltd.,533033
Transport Corporation Of India Ltd.,TCI
Crompton Greaves Consumer Electricals Ltd.,CROMPTON
Bata India Ltd.,BATAINDIA
Astral Poly Technik Ltd.,ASTRAL
Asian Paints Ltd.,ASIANPAINT
Eicher Motors Ltd.,EICHERMOT
3M India Ltd.,3MINDIA
Wabco India Ltd.,WABCOINDIA
Coromandel International Ltd.,COROMANDEL
Apollo Hospitals Enterprise Ltd.,APOLLOHOSP
Sanofi India Ltd.,SANOFI
Hexaware Technologies Ltd.,HEXAWARE
Exide Industries Ltd.,EXIDEIND
Mphasis Ltd.,MPHASIS
Mahanagar Gas Ltd.,MGL
FAG Bearings India Ltd.,SCHAEFFLER
Torrent Power Ltd.,TORNTPOWER
Mishra Dhatu Nigam Ltd.,MIDHANI
KEC International Ltd.,KEC
Phoenix Mills Ltd.,PHOENIXLTD
Indiamart Intermesh Ltd.,INDIAMART
DCB Bank Ltd.,DCBBANK
Reliance Nippon Life Asset Management Limited.,NAM-INDIA
Motilal Oswal Financial Services Ltd,MOTILALOFS
L&T Technology Services Ltd.,LTTS
Mahindra Logistics Ltd.,MAHLOG
Heritage Foods Ltd.,HERITGFOOD
Music Broadcast Pvt Ltd.,RADIOCITY
Petronet LNG Ltd.,PETRONET
Vaibhav Global Ltd.,VAIBHAVGBL
PI Industries Ltd.,PIIND
Trent Ltd.,TRENT
Supreme Industries Ltd.,SUPREMEIND
Sundaram Finance Ltd.,SUNDARMHLD
Bandhan Bank Ltd.,BANDHANBNK
Endurance Technologies Ltd.,ENDURANCE
ACC Ltd.,ACC
Alembic Pharmaceuticals Ltd.,APLLTD
ICICI Securities Ltd.,ISEC
Cummins India Ltd.,CUMMINSIND
Thermax Ltd.,THERMAX
Kajaria Ceramics Ltd.,KAJARIACER
Shree Cement Ltd.,SHREECEM
Cadila Healthcare Ltd.,CADILAHC
APL Apollo Tubes Ltd.,APLAPOLLO
Federal Bank Ltd.,FEDERALBNK
Ratnamani Metals & Tubes Ltd.,RATNAMANI
Jindal Steel & Power Ltd.,JINDALSTEL
Shriram City Union Finance Ltd.,SHRIRAMCIT
Oberoi Realty Ltd.,OBEROIRLTY
Godrej Agrovet Ltd.,GODREJAGRO
Motherson Sumi Systems Ltd.,MOTHERSUMI
MRF Ltd.,MRF
Lux Industries Ltd.,LUXIND
Amara Raja Batteries Ltd.,AMARAJABAT
Persistent Systems Ltd.,PERSISTENT
Eris Lifesciences Ltd,ERIS
Tube Investments Of India Ltd.,TIINDIA
BEML Ltd,BEML
Bharti Retail Ltd,FRETAIL
Laurus Labs Ltd.,LAURUSLABS
Navneet Education Ltd.,NAVNETEDUL
Edelweiss Financial Services Ltd.,EDELWEISS
Kalpataru Power Transmission Ltd.,KALPATPOWR
Ramkrishna Forgings Ltd.,RKFORGE
WPIL Ltd.,WPIL
HCL Technologies Ltd.,HCLTECH
Escorts Ltd.,ESCORTS
Ultratech Cement Ltd.,ULTRACEMCO
Container Corpn. Of India Ltd.,CONCOR
Central Depository Services (India) Ltd.,CDSL
Bharat Petroleum Corpn. Ltd.,BPCL
Cipla Ltd.,CIPLA
Tata Motors Ltd.,TATAMOTORS
Ashok Leyland Ltd.,ASHOKLEY
Apex Frozen Foods Ltd.,APEX
Kei Industries Ltd.,KEI
Wipro Ltd.,WIPRO
Grasim Industries Ltd.,GRASIM
Indian Oil Corpn. Ltd.,IOC
Biocon Ltd.,BIOCON
Dr. Reddy's Laboratories Ltd.,DRREDDY
Aurobindo Pharma Ltd.,AUROPHARMA
Zee Entertainment Enterprises Ltd.,ZEEL
Power Grid Corpn. Of India Ltd.,POWERGRID
Interglobe Aviation Ltd.,INDIGO
Hero Motocorp Ltd.,HEROMOTOCO
Godrej Consumer Products Ltd.,GODREJCP
Bajaj Finserv Ltd.,BAJAJFINSV
GAIL (India) Ltd.,GAIL
SBI Life Insurance Company Ltd.,SBILIFE
United Breweries Ltd.,UBL
Lupin Ltd.,LUPIN
Bayer CropScience Ltd.,BAYERCROP
Arvind Fashions Ltd.,ARVINDFASN
Arvind Ltd.,ARVIND
Pidilite Industries Ltd.,PIDILITIND
Nestle India Ltd.,NESTLEIND
Simran Wind Project Ltd.,TECHNOE
